ASX code,Company name,Security type,ISIN code
ACUAB,ACTIVISTIC LTD,OPTION EXPIRING 31-DEC-2017 RESTRICTED EX 11C,AU0000ACUAB3
ACUAD,ACTIVISTIC LTD,OPTION EXPIRING 31-DEC-2017 RESTRICTED EX 11C,AU0000ACUAD9
ACUAF,ACTIVISTIC LTD,PERFORMANCE SHARES RESTRICTED CLASS A,AU0000ACUAF4
ACUAG,ACTIVISTIC LTD,PERFORMANCE SHARES RESTRICTED CLASS B,AU0000ACUAG2
ACUAH,ACTIVISTIC LTD,PERFORMANCE SHARES RESTRICTED CLASS C,AU0000ACUAH0
ADA,ADACEL TECHNOLOGIES,ORDINARY FULLY PAID,AU000000ADA7
ADH,ADAIRS LIMITED,ORDINARY FULLY PAID,AU000000ADH2
ADD,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID,AU000000ADD1
ADDDA,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ADDDA3
ADDAO,ADAVALE RESOURCE LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADDAO0
ADDAU,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2014 EX 4C,AU0000ADDAU7
ADDAY,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2016 CLASS D EX $1.00,AU0000ADDAY9
AAU,ADCORP AUSTRALIA,ORDINARY FULLY PAID,AU000000AAU1
AAUN,ADCORP AUSTRALIA,ORDINARY FULLY PAID DEFERRED,AU00000AAUN9
AAUR,ADCORP AUSTRALIA,RIGHTS - APPLICATIONS CLOSE 30-NOV-2015,AU00000AAUR0
AAUAK,ADCORP AUSTRALIA,OPTION EXPIRING VARIOUS DATES EMP. EX VAR. PRICES,AU0000AAUAK8
ABC,ADELAIDE BRIGHTON,ORDINARY FULLY PAID,AU000000ABC7
ABCAK,ADELAIDE BRIGHTON,AWARD EXPIRING VARIOUS DATES EX NIL PRICE,AU0000ABCAK4
ADN,ADELAIDE RESOURCES,ORDINARY FULLY PAID,AU000000ADN0
ADNO,ADELAIDE RESOURCES,OPTION EXPIRING 30-SEP-2016,AU00000ADNO6
ADQDA,ADG GLOBAL SUPPLY.,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ADQDA5
ADQAK,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2014 EX 15C,AU0000ADQAK0
ADQAM,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2014 EX 11C,AU0000ADQAM6
ADQ,ADG GLOBAL SUPPLY.,ORDINARY FULLY PAID,AU000000ADQ3
ADR,ADHERIUM LTD,ORDINARY FULLY PAID,AU000000ADR1
ADRAC,ADHERIUM LTD,ORDINARY FULLY PAID RESTRICTED,AU0000ADRAC5
ADRAE,ADHERIUM LTD,ORDINARY FULLY PAID RESTRICTED,AU0000ADRAE1
ADRAD,ADHERIUM LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADRAD3
ADRAB,ADHERIUM LTD,OPTION EXPIRING VARIOUS RESTRICTED EX VARIOUS,AU0000ADRAB7
ADRAF,ADHERIUM LTD,OPTION EXPIRING 26-08-2017 RESTRICTED,AU0000ADRAF8
ABY,ADITYA BIRLA,ORDINARY FULLY PAID,AU000000ABY1
AHZ,ADMEDUS LTD,ORDINARY FULLY PAID,AU000000AHZ5
AHZDA,ADMEDUS LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AHZDA7
AHZAC,ADMEDUS LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AHZAC9
AHZAD,ADMEDUS LTD,WARRANTS,AU0000AHZAD7
ADY,ADMIRALTY RESOURCES.,ORDINARY FULLY PAID,AU000000ADY7
ADYAI,ADMIRALTY RESOURCES.,CONVERTIBLE SECURITY MATURING 26-JUN-2016,AU0000ADYAI8
ADJ,ADSLOT LTD,ORDINARY FULLY PAID,AU000000ADJ8
ADJAA,ADSLOT LTD,PERFORMANCE RIGHTS,AU0000ADJAA6
ABV,ADV BRAKING TECH LTD,ORDINARY FULLY PAID,AU000000ABV7
ABVO,ADV BRAKING TECH LTD,OPTION EXPIRING 15-AUG-2016,AU00000ABVO3
ABVAK,ADV BRAKING TECH LTD,12% UNSEC.RED.CONVERTIBLE NOTE MAT 15-AUG-2016,AU0000ABVAK4
ABVAM,ADV BRAKING TECH LTD,12% UNSEC.RED.CONV.NOTE MATURING 19-NOV-2016,AU0000ABVAM0
AES,ADVANCED ENERGY,ORDINARY FULLY PAID,AU000000AES7
ASW,ADVANCED SHARE LTD,ORDINARY FULLY PAID,AU000000ASW9
A88,ADVANCETC LIMITED,NSX - ORDINARY FULLY PAID,AU000000A880
ADX,ADX ENERGY LTD,ORDINARY FULLY PAID,AU000000ADX9
ADXAI,ADX ENERGY LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADXAI0
AED,AED OIL LIMITED,ORDINARY FULLY PAID,AU000000AED9
AER,AEERIS LTD,ORDINARY FULLY PAID,AU000000AER9
AERAD,AEERIS LTD,ORDINARY FULLY PAID RESTRICTED,AU0000AERAD1
AERAC,AEERIS LTD,OPTION EXPIRING 31-DEC-2019 EX 40C,AU0000AERAC3
AERAE,AEERIS LTD,OPTION EXPIRING 31-DEC-2019 RESTRICTED EX 60C,AU0000AERAE9
AERAF,AEERIS LTD,OPTION EXPIRING 31-DEC-2019 RESTRICTED EX 40C,AU0000AERAF6
AML,AEON METALS LTD.,ORDINARY FULLY PAID,AU000000AML5
AMLAK,AEON METALS LTD.,OPTION EXPIRING 08-FEB-2016 EX 12.5C,AU0000AMLAK2
AMLAM,AEON METALS LTD.,OPTION EXPIRING 17-JUN-2017 EX 15.81C,AU0000AMLAM8
AMLAO,AEON METALS LTD.,OPTION EXPIRING 17-DEC-2017 EX 9.35C,AU0000AMLAO4
AEI,AERIS ENVIRONMENTAL,ORDINARY FULLY PAID,AU000000AEI8
AEIAB,AERIS ENVIRONMENTAL,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AEIAB4
AIS,AERIS RESOURCES LTD,ORDINARY FULLY PAID,AU000000AIS8
AISDA,AERIS RESOURCES LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AISDA0
AISAC,AERIS RESOURCES LTD,CONVERTIBLE RED PREF SHARES,AU0000AISAC2
AISAD,AERIS RESOURCES LTD,CONVERTIBLE NON-RED PREF SHARES,AU0000AISAD0
AISAE,AERIS RESOURCES LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AISAE8
AISAA,AERIS RESOURCES LTD,12.5% SEC.RED.CONV.NOTE MATURING 05-NOV-2015,AU0000AISAA6
